Type,Year,Qtr,Adoption,Order_type,Adopter,Adopted_child_sex,Adopted_child_age,Count
Application,2015,1,Adoption,Standard,Same sex couple,n/a,n/a,144
Application,2015,1,Adoption,Standard,Sole applicant,n/a,n/a,274
Application,2015,1,Adoption,Standard,Step parent,n/a,n/a,104
Application,2015,2,Adoption,Standard,M/F couple,n/a,n/a,960
Application,2015,2,Adoption,Standard,Other or not stated,n/a,n/a,4
Application,2015,2,Adoption,Standard,Same sex couple,n/a,n/a,141
Application,2015,2,Adoption,Standard,Sole applicant,n/a,n/a,247
Application,2015,2,Adoption,Standard,Step parent,n/a,n/a,127
Application,2015,3,Adoption,Standard,M/F couple,n/a,n/a,1029
Application,2015,3,Adoption,Standard,Other or not stated,n/a,n/a,1
Application,2015,3,Adoption,Standard,Same sex couple,n/a,n/a,146
Application,2015,3,Adoption,Standard,Sole applicant,n/a,n/a,265
Application,2015,3,Adoption,Standard,Step parent,n/a,n/a,116
Application,2015,4,Adoption,Standard,M/F couple,n/a,n/a,973
Application,2015,4,Adoption,Standard,Other or not stated,n/a,n/a,0
Application,2015,4,Adoption,Standard,Same sex couple,n/a,n/a,117
Application,2015,4,Adoption,Standard,Sole applicant,n/a,n/a,251
Application,2015,4,Adoption,Standard,Step parent,n/a,n/a,107
Application,2016,1,Adoption,Standard,M/F couple,n/a,n/a,1043
Application,2016,1,Adoption,Standard,Other or not stated,n/a,n/a,2
Application,2016,1,Adoption,Standard,Same sex couple,n/a,n/a,127
Application,2016,1,Adoption,Standard,Sole applicant,n/a,n/a,258
Application,2016,1,Adoption,Standard,Step parent,n/a,n/a,102
Application,2016,2,Adoption,Standard,M/F couple,n/a,n/a,958
Application,2016,2,Adoption,Standard,Other or not stated,n/a,n/a,0
Application,2016,2,Adoption,Standard,Same sex couple,n/a,n/a,128
Application,2016,2,Adoption,Standard,Sole applicant,n/a,n/a,236
Application,2016,2,Adoption,Standard,Step parent,n/a,n/a,112
Application,2016,3,Adoption,Standard,M/F couple,n/a,n/a,960
Application,2016,3,Adoption,Standard,Other or not stated,n/a,n/a,2
Application,2016,3,Adoption,Standard,Same sex couple,n/a,n/a,139
Application,2016,3,Adoption,Standard,Sole applicant,n/a,n/a,240
Application,2016,3,Adoption,Standard,Step parent,n/a,n/a,118
Application,2016,4,Adoption,Standard,M/F couple,n/a,n/a,904
Application,2016,4,Adoption,Standard,Other or not stated,n/a,n/a,3
Application,2016,4,Adoption,Standard,Same sex couple,n/a,n/a,146
Application,2016,4,Adoption,Standard,Sole applicant,n/a,n/a,239
Application,2016,4,Adoption,Standard,Step parent,n/a,n/a,121
Application,2017,1,Adoption,Standard,M/F couple,n/a,n/a,892
Application,2017,1,Adoption,Standard,Other or not stated,n/a,n/a,12
Application,2017,1,Adoption,Standard,Same sex couple,n/a,n/a,164
Application,2017,1,Adoption,Standard,Sole applicant,n/a,n/a,240
Application,2017,1,Adoption,Standard,Step parent,n/a,n/a,154
Application,2017,2,Adoption,Standard,M/F couple,n/a,n/a,780
Application,2017,2,Adoption,Standard,Other or not stated,n/a,n/a,4
Application,2017,2,Adoption,Standard,Same sex couple,n/a,n/a,138
Application,2017,2,Adoption,Standard,Sole applicant,n/a,n/a,211
Application,2017,2,Adoption,Standard,Step parent,n/a,n/a,123
Application,2017,3,Adoption,Standard,M/F couple,n/a,n/a,824
Application,2017,3,Adoption,Standard,Other or not stated,n/a,n/a,0
Application,2017,3,Adoption,Standard,Same sex couple,n/a,n/a,146
Application,2017,3,Adoption,Standard,Sole applicant,n/a,n/a,288
Application,2017,3,Adoption,Standard,Step parent,n/a,n/a,103
Application,2011,1,Adoption,Convention,M/F couple,n/a,n/a,5
Application,2011,1,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2011,1,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2011,1,Adoption,Convention,Sole applicant,n/a,n/a,3
Application,2011,1,Adoption,Convention,Step parent,n/a,n/a,0
Application,2011,2,Adoption,Convention,M/F couple,n/a,n/a,3
Application,2011,2,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2011,2,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2011,2,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2011,2,Adoption,Convention,Step parent,n/a,n/a,0
Application,2011,3,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2011,3,Adoption,Convention,Other or not stated,n/a,n/a,0
Application,2011,3,Adoption,Convention,Same sex couple,n/a,n/a,0
Application,2011,3,Adoption,Convention,Sole applicant,n/a,n/a,0
Application,2011,3,Adoption,Convention,Step parent,n/a,n/a,0
Application,2011,4,Adoption,Convention,M/F couple,n/a,n/a,1
Application,2011,4,Adoption,Convention,Other or not stated,n/a,n/a,0
